audio_file|text|speaker_id
wavs/audio_022_seg003.wav|audio_14e77721-e3d0-46f8-a9f6-1e49b29b73cb|darija_speaker
wavs/audio_009_seg016.wav|13 ميم لو بلافون مخدوم يعني ديون فاصون أرتيستيك شابة، قلنا عندنا دو فاصاد. لهنا عندنا لو بلوك سانيتير خاوتنا وين كاين أن لافابو في الوسط، أون دوش جاية سيباري على لي|darija_speaker
wavs/audio_044_seg010.wav|audio_4dd7f4c0-724b-408b-8b95-e835a9abf500|darija_speaker
wavs/audio_099_seg025.wav|audio_e2ab9eae-5d5c-4ecc-adb5-338512c3564f|darija_speaker
wavs/audio_016_seg008.wav|audio_0aeeb973-b696-45f1-ba20-516d7c75cf9a|darija_speaker
wavs/audio_042_seg018.wav|audio_4a96f1e4-909e-4931-8cf4-aa14185b491b|darija_speaker
wavs/audio_099_seg007.wav|audio_e2ab9eae-5d5c-4ecc-adb5-338512c3564f|darija_speaker
wavs/audio_013_seg009.wav|audio_053ef1b5-4601-41a7-9b37-0667f496089e|darija_speaker
wavs/audio_060_seg008.wav|audio_87bf7e83-98ce-47df-8754-7e1c7b4a1c6b|darija_speaker
wavs/audio_086_seg000.wav|audio_cc1ebf6d-7cb2-4f02-b05c-0e9e2d21abef|darija_speaker
wavs/audio_070_seg022.wav|audio_a1bde79f-e40a-491f-87f3-6c1e323c63ac|darija_speaker
wavs/audio_018_seg011.wav|audio_0e276219-30b8-423e-9f28-5450a2f9f5a3|darija_speaker
wavs/audio_088_seg007.wav|audio_d0398a0b-a867-4b04-866e-66a983884621|darija_speaker
wavs/audio_033_seg012.wav|audio_35979a50-5b09-4d21-bf68-e8ef29d7a18b|darija_speaker
wavs/audio_106_seg011.wav|audio_f2fe713d-9de5-4ca1-9f60-1029d7a528c7|darija_speaker
wavs/audio_097_seg015.wav|audio_df6565fa-9f28-47ec-9cef-9ace2e7c360f|darija_speaker
wavs/audio_072_seg020.wav|audio_ab7e151b-93cf-4ef0-94a0-b4ce9337957c|darija_speaker
wavs/audio_089_seg004.wav|audio_d0c81fcc-48ea-4485-b9e5-6a3fbea5a692|darija_speaker
wavs/audio_107_seg015.wav|audio_f8da45d9-4ec7-40cf-991f-2cf55645f6f2|darija_speaker
wavs/audio_069_seg008.wav|audio_a00bb7ec-73e8-44d2-9f5e-4186e03a783a|darija_speaker
wavs/audio_056_seg003.wav|audio_79f3c4b4-85e8-41c5-a8a8-ed7ec394b757|darija_speaker
wavs/audio_082_seg000.wav|audio_c674eff1-6725-4c3e-bc10-a9b8658d7af0|darija_speaker
wavs/audio_028_seg002.wav|audio_212b9745-6d9d-40d9-a67b-8d2786679a4d|darija_speaker
wavs/audio_066_seg003.wav|audio_9327dad2-7d4b-4ce4-8dd8-a7888276baf1|darija_speaker
wavs/audio_072_seg018.wav|audio_ab7e151b-93cf-4ef0-94a0-b4ce9337957c|darija_speaker
wavs/audio_106_seg018.wav|audio_f2fe713d-9de5-4ca1-9f60-1029d7a528c7|darija_speaker
wavs/audio_035_seg004.wav|audio_3a1794f3-9c18-4d78-a582-93ca5ab8c017|darija_speaker
wavs/audio_097_seg031.wav|audio_df6565fa-9f28-47ec-9cef-9ace2e7c360f|darija_speaker
wavs/audio_010_seg024.wav|audio_00c7f993-da23-4237-927c-8336522de9c4|darija_speaker
wavs/audio_094_seg006.wav|audio_d6989f68-9b12-4dd8-b8f8-16ac60f57ff5|darija_speaker
wavs/audio_058_seg012.wav|audio_8550e6f0-5668-4062-a6a8-238fc90ef65d|darija_speaker
wavs/audio_023_seg000.wav|audio_18d4a0cc-b926-45a7-b021-9dbefd11c1d7|darija_speaker
wavs/audio_021_seg007.wav|audio_1490df48-85d2-41b9-aa26-98c28cab47f7|darija_speaker
wavs/audio_042_seg028.wav|audio_4a96f1e4-909e-4931-8cf4-aa14185b491b|darija_speaker
wavs/audio_106_seg019.wav|audio_f2fe713d-9de5-4ca1-9f60-1029d7a528c7|darija_speaker
wavs/audio_079_seg017.wav|audio_b6056b50-6fd7-4e8d-855c-4135497740d2|darija_speaker
wavs/audio_017_seg002.wav|audio_0d794f11-99b3-4aaa-953f-2380d6eff5fd|darija_speaker
wavs/audio_097_seg023.wav|audio_df6565fa-9f28-47ec-9cef-9ace2e7c360f|darija_speaker
wavs/audio_064_seg010.wav|audio_8f1e51b9-c2bb-4503-922f-4e1d8915fe96|darija_speaker
wavs/audio_042_seg004.wav|audio_4a96f1e4-909e-4931-8cf4-aa14185b491b|darija_speaker
wavs/audio_042_seg017.wav|audio_4a96f1e4-909e-4931-8cf4-aa14185b491b|darija_speaker
wavs/audio_066_seg014.wav|audio_9327dad2-7d4b-4ce4-8dd8-a7888276baf1|darija_speaker
wavs/audio_042_seg036.wav|audio_4a96f1e4-909e-4931-8cf4-aa14185b491b|darija_speaker
wavs/audio_043_seg002.wav|audio_4c9d8f36-6a6d-4b7e-8cd9-1ac270c13944|darija_speaker
wavs/audio_075_seg000.wav|audio_ae1294c8-7772-4bd4-81d3-179d0f7b6e51|darija_speaker
wavs/audio_035_seg002.wav|audio_3a1794f3-9c18-4d78-a582-93ca5ab8c017|darija_speaker
wavs/audio_089_seg000.wav|audio_d0c81fcc-48ea-4485-b9e5-6a3fbea5a692|darija_speaker
wavs/audio_086_seg010.wav|audio_cc1ebf6d-7cb2-4f02-b05c-0e9e2d21abef|darija_speaker
wavs/audio_060_seg026.wav|audio_87bf7e83-98ce-47df-8754-7e1c7b4a1c6b|darija_speaker
wavs/audio_034_seg003.wav|audio_365e0311-adbe-4ac7-bc6f-1dfdbc736f4b|darija_speaker
wavs/audio_072_seg006.wav|audio_ab7e151b-93cf-4ef0-94a0-b4ce9337957c|darija_speaker
wavs/audio_066_seg015.wav|audio_9327dad2-7d4b-4ce4-8dd8-a7888276baf1|darija_speaker
wavs/audio_018_seg018.wav|audio_0e276219-30b8-423e-9f28-5450a2f9f5a3|darija_speaker
wavs/audio_058_seg002.wav|audio_8550e6f0-5668-4062-a6a8-238fc90ef65d|darija_speaker
wavs/audio_012_seg023.wav|audio_027cc715-ebe3-4e98-b911-eb58b733f40b|darija_speaker
wavs/audio_050_seg005.wav|audio_5c6856bc-3cf9-47e6-b1f3-3bef85ba4f24|darija_speaker
wavs/audio_066_seg022.wav|audio_9327dad2-7d4b-4ce4-8dd8-a7888276baf1|darija_speaker
wavs/audio_013_seg004.wav|audio_053ef1b5-4601-41a7-9b37-0667f496089e|darija_speaker
wavs/audio_042_seg010.wav|audio_4a96f1e4-909e-4931-8cf4-aa14185b491b|darija_speaker
wavs/audio_091_seg004.wav|audio_d2e4c1ee-19e0-4403-a44b-8d331d178528|darija_speaker
wavs/audio_081_seg001.wav|audio_c31e87a0-5e41-45e0-9ed3-35bb2a60e239|darija_speaker
wavs/audio_058_seg017.wav|audio_8550e6f0-5668-4062-a6a8-238fc90ef65d|darija_speaker
wavs/audio_019_seg012.wav|audio_0e678d66-76ac-41cd-9612-677e1057e2e2|darija_speaker
